index,x,y,type,patient_count
285,-675,218,village,62
286,1965,-1487,village,23
287,554,-1478,village,42
288,-1880,499,village,66
289,-965,1261,village,39
290,-1423,-1278,village,93
291,-234,-1206,village,8
292,-1607,1055,village,69
293,1219,-38,village,36
294,-1323,1755,village,91
295,1491,-1461,village,24
296,-129,1492,village,4
297,400,42,village,99
298,1612,-621,village,48
299,648,221,village,42
300,157,-1451,village,74
301,-1134,79,village,30
302,381,-1665,village,86
303,-1259,-1977,village,84
304,225,1561,village,87
305,-51,-157,village,50
306,1660,1491,village,9
307,1645,1424,village,15
308,1052,-1885,village,40
309,-1604,1789,village,71
310,-1199,1719,village,16
311,301,1631,village,9
312,-452,502,village,8
313,-1917,472,village,25
314,1311,-316,village,67
315,-62,1708,village,39
316,1997,-1544,village,2
317,1197,1469,village,18
318,1189,889,village,100
319,-1348,857,village,93
320,-1475,-1503,village,68
321,617,-541,village,22
322,1249,1943,village,75
323,1328,515,village,1
324,-1576,753,village,90
325,-1175,-1950,village,35
326,162,-699,village,85
327,-1716,-184,village,98
328,1349,-965,village,31
329,-1095,-630,village,10
330,-1000,534,village,78
331,-346,1277,village,3
332,-1984,390,village,38
333,-28,-166,village,49
334,-1339,1521,village,42
335,-1615,834,village,16
336,-1051,-311,village,19
337,-559,-624,village,99
338,-117,-602,village,17
339,1732,-209,village,97
340,210,-1780,village,46
341,-418,1995,village,100
342,-226,788,village,40
343,-616,1551,village,5
344,148,1514,village,63
345,760,-476,village,52
346,796,1608,village,18
347,-1845,147,village,56
348,-1887,-411,village,42
349,-873,689,village,40
350,1303,1610,village,25
351,-1691,1013,village,65
352,-299,-751,village,91
353,-172,1345,village,47
354,1232,42,village,4
355,961,-784,village,42
356,1343,472,village,86
357,1325,-1851,village,74
358,1423,-1617,village,55
359,588,-1516,village,28
360,617,1678,village,20
361,-1661,-877,village,81
362,602,1453,village,91
363,21,1862,village,46
364,398,1152,village,38
365,-1997,11,village,84
366,885,-1338,village,73
367,1184,302,village,83
368,-63,836,village,88
369,-1065,-1413,village,80
370,77,-775,village,5
371,835,1417,village,31
372,1981,-1891,village,92
373,693,1405,village,39
374,1170,1155,village,4
375,-514,1976,village,78
376,114,1290,village,34
377,1760,1801,village,18
378,1338,1703,village,85
379,733,-111,village,74
380,1360,-447,village,16
381,-1581,623,village,74
382,-1265,1712,village,27
383,-1488,-91,village,49
384,1469,-1324,village,12
385,-249,865,village,40
386,363,-1566,village,73
387,661,1755,village,5
388,-1485,-1729,village,79
389,-1782,483,village,86
390,-465,-611,village,68
391,-872,-1675,village,79
392,1470,1907,village,16
393,1850,-1793,village,62
394,552,891,village,20
395,167,265,village,53
396,195,-227,village,73
397,761,123,village,73
398,1113,1803,village,64
399,708,479,village,8
400,-642,820,village,85
401,1450,-851,village,32
402,1526,1318,village,69
403,-801,936,village,40
404,-12,376,village,10
405,-1451,915,village,46
406,-1203,1741,village,15
407,1850,-98,village,99
408,-971,673,village,8
409,-564,-900,village,75
410,-1616,-1555,village,95
411,801,1844,village,1
412,-1065,-587,village,21
413,1817,-986,village,72
414,-1073,-584,village,29
415,-124,834,village,40
416,-420,1651,village,58
417,1538,-1510,village,26
418,-1596,1874,village,79
419,-1565,-1972,village,85
420,-113,-1557,village,8
421,52,-1625,village,29
422,415,-1947,village,86
423,729,-1136,village,8
424,-697,-1979,village,69
425,-982,1832,village,31
426,1716,1791,village,35
427,-1225,-1945,village,93
428,595,1002,village,82
429,-338,60,village,72
430,492,-600,village,36
431,1856,-201,village,80
432,596,-62,village,99
433,783,1674,village,36
434,-1593,1949,village,78
435,1354,-508,village,70
436,1418,1310,village,17
437,-954,-1862,village,48
438,1363,-1626,village,58
439,1204,-359,village,40
440,-487,-873,village,91
441,1038,-1076,village,67
442,-1621,-1171,village,16
443,-892,1186,village,65
444,-1594,-1481,village,2
445,-1379,465,village,98
446,-728,1782,village,47
447,-480,-1296,village,98
448,1349,1101,village,33
449,-1258,1139,village,71
450,444,1908,village,93
451,-404,-1322,village,91
452,-1581,1703,village,84
453,-1750,-1875,village,24
454,246,-320,village,87
455,-858,-1619,village,51
456,1857,-1874,village,3
457,-831,1358,village,32
458,36,134,village,97
459,1355,256,village,50
460,-82,-606,village,80
461,1687,1563,village,31
462,-483,1480,village,63
463,-935,-1322,village,8
464,-462,-273,village,97
465,1199,-1060,village,5
466,1172,-163,village,22
467,-1676,-428,village,98
468,-673,-374,village,68
469,-1466,-1722,village,82
470,106,-257,village,5
471,1864,-1456,village,94
472,535,-1262,village,41
473,548,-1856,village,60
474,439,-774,village,2
475,726,-1078,village,17
476,161,492,village,1
477,-616,619,village,83
478,-1987,-760,village,53
479,1278,-888,village,64
480,-207,1462,village,55
481,-1730,1217,village,94
482,-1179,1616,village,28
483,452,-426,village,11
484,-1475,971,village,11
485,-633,12,village,87
486,1612,-1248,village,45
487,426,493,village,90
488,780,183,village,70
489,186,1473,village,2
490,624,-164,village,29
491,-419,1017,village,12
492,572,375,village,80
493,-35,-1103,village,44
494,1786,-987,village,93
495,473,-1036,village,45
496,-1976,-1430,village,34
497,725,1163,village,85
498,-1864,1454,village,65
499,-641,-57,village,29
500,1825,950,village,68
501,1823,-38,village,12
502,1910,333,village,59
503,-52,-238,village,24
504,1559,-213,village,62
505,1002,-1499,village,60
506,-360,1904,village,40
507,1103,-834,village,29
508,952,-617,village,80
509,-720,-1934,village,90
510,1538,1295,village,43
511,1823,-1843,village,36
512,1154,35,village,80
513,-1278,281,village,68
514,607,1539,village,45
515,999,-1035,village,77
516,859,-1025,village,15
517,269,-1271,village,53
518,1442,1070,village,45
519,1391,-540,village,40
520,-21,-1134,village,83
521,1177,-432,village,51
522,-485,1271,village,30
523,-1664,-1650,village,25
524,1179,-871,village,4
525,547,-1743,village,60
526,-1546,-432,village,70
527,-1053,1013,village,41
528,1367,449,village,9
529,894,1460,village,19
530,1452,-80,village,62
531,1930,968,village,24
532,-914,-21,village,72
533,-1267,841,village,13
534,-719,1591,village,49
535,-1343,-1641,village,59
536,56,1666,village,1
537,1398,162,village,61
538,-695,1598,village,35
539,-1447,776,village,9
540,-1188,-1893,village,18
541,1623,848,village,12
542,-263,1320,village,90
543,1502,1069,village,69
544,-735,1633,village,8
545,653,854,village,40
546,1217,-1273,village,52
547,930,-22,village,37
548,-598,1083,village,92
549,510,-1360,village,12
550,1905,422,village,76
551,-264,1545,village,62
552,1992,-1520,village,34
553,-1236,800,village,65
554,143,-1664,village,25
555,-1718,-22,village,13
556,708,-499,village,86
557,1245,-1602,village,87
558,178,-1172,village,42
559,-1276,420,village,15
560,-982,-697,village,15
561,-555,916,village,61
562,244,-989,village,10
563,1005,-384,village,19
564,102,668,village,10
565,-1804,307,village,37
566,-1738,-1770,village,18
567,-47,25,village,49
568,999,928,village,93
569,1117,1835,village,65
570,-1297,-1961,village,90
571,-1178,1799,village,89
572,-1117,-768,village,1
573,784,-141,village,68
574,164,1506,village,66
575,332,1444,village,63
576,1931,1415,village,96
577,-945,-283,village,45
578,-605,1993,village,40
579,1005,1298,village,32
580,1945,-439,village,92
581,-715,1160,village,35
582,-1001,318,village,37
583,-972,1115,village,7
584,-836,1581,village,86
585,1543,582,village,16
586,-1216,-1932,village,81
587,1008,-1410,village,39
588,-1641,-201,village,75
589,1657,-1595,village,91
590,-297,-526,village,95
591,-719,1333,village,49
592,432,-1523,village,2
593,874,-236,village,49
594,-881,-917,village,27
595,630,-1098,village,94
596,-37,611,village,7
597,780,340,village,73
598,1441,-875,village,12
599,-971,-648,village,51
600,237,-595,village,36
601,1024,1310,village,57
602,508,478,village,25
603,1850,-1523,village,8
604,1095,819,village,76
605,1769,-1935,village,74
606,-1432,817,village,81
607,-55,-1778,village,27
608,35,203,village,47
609,-1573,-1603,village,60
610,122,965,village,15
611,910,-837,village,16
612,1384,513,village,33
613,1119,-724,village,54
614,1868,-1243,village,98
615,1102,-1537,village,10
616,868,-77,village,34
617,289,448,village,43
618,-796,29,village,30
619,1407,1504,village,89
620,155,-62,village,89
621,828,980,village,69
622,1297,282,village,6
623,1952,-1436,village,68
624,67,1510,village,86
625,-360,980,village,44
626,-755,-1020,village,53
627,1306,-190,village,96
628,182,900,village,8
629,-25,466,village,36
630,-1791,494,village,38
631,-1812,-1636,village,3
632,-1945,250,village,51
633,663,1311,village,14
634,1628,1601,village,15
635,-561,1577,village,43
636,-786,-620,village,47
637,-1827,1042,village,25
638,76,-426,village,34
639,-292,748,village,12
640,1879,502,village,61
641,-1417,-1602,village,25
642,557,-876,village,26
643,-161,-1326,village,74
644,-1565,-911,village,29
645,-34,-1863,village,70
646,-679,-1985,village,34
647,-1293,606,village,41
648,543,873,village,31
649,672,-1068,village,82
650,154,1002,village,36
651,503,-141,village,40
652,-551,-1599,village,62
653,1409,-38,village,86
654,1145,-792,village,58
655,-279,79,village,64
656,-1368,-1334,village,24
657,1327,396,village,49
658,-1907,-799,village,58
659,1576,-1467,village,64
660,-1791,347,village,75
661,-280,1214,village,83
662,1588,-1217,village,58
663,-864,-707,village,86
664,-681,581,village,12
665,1529,1692,village,19
666,1270,1531,village,76
667,-1543,87,village,28
668,118,1265,village,68
669,-1153,680,village,48
670,419,-1687,village,8
671,-1928,-225,village,28
672,677,1309,village,69
673,1073,262,village,9
674,393,-1013,village,5
675,650,-935,village,42
676,81,-245,village,91
677,-1239,-518,village,64
678,152,868,village,90
679,-1176,1189,village,95
680,648,-582,village,55
681,1016,-602,village,91
682,1587,1541,village,58
683,-382,378,village,70
684,1657,701,village,54
685,-385,421,village,18
686,1926,722,village,87
687,-1021,1358,village,70
688,674,1458,village,26
689,759,264,village,79
690,-99,1422,village,64
691,-1880,-464,village,95
692,522,-1518,village,88
693,-663,896,village,36
694,1594,122,village,87
695,-1247,1997,village,99
696,1369,480,village,34
697,1892,1299,village,44
698,-1795,-1389,village,33
699,-491,1075,village,4
700,-1462,968,village,96
701,-1092,1420,village,88
702,-113,199,village,68
703,-209,-916,village,2
704,-258,-1214,village,73
705,-335,182,village,9
706,-1123,-1145,village,77
707,-1723,978,village,12
708,1197,211,village,18
709,-1795,-1796,village,42
710,1969,809,village,45
711,420,-673,village,68
712,-1156,1751,village,4
713,568,1719,village,80
714,1187,-699,village,23
715,-962,-567,village,72
716,-1079,-1556,village,51
717,-1698,-166,village,71
718,-860,175,village,38
719,1220,97,village,6
720,1854,-1898,village,35
721,-650,77,village,95
722,1336,-746,village,54
723,-965,1552,village,38
724,1565,280,village,85
725,1855,965,village,27
726,-1528,1960,village,10
727,-784,-448,village,29
728,-472,-1864,village,72
729,-1117,-922,village,59
730,1484,1109,village,21
731,-716,72,village,22
732,-420,-836,village,40
733,284,1029,village,32
734,90,26,village,9
735,908,1045,village,75
736,949,-1341,village,38
737,319,-1290,village,79
738,1465,-1348,village,26
739,253,888,village,6
740,-318,492,village,55
741,1015,-769,village,48
742,599,1739,village,39
743,-1661,1105,village,64
744,146,-1680,village,30
745,-1068,-1230,village,94
746,-696,-1593,village,54
747,842,303,village,81
748,-187,64,village,17
749,1472,285,village,9
750,-1009,1197,village,23
751,551,-1133,village,35
752,-795,1549,village,77
753,1054,1495,village,30
754,-197,-715,village,87
755,1232,1110,village,24
756,111,-403,village,74
757,837,-1902,village,28
758,95,-1676,village,90
759,1714,1918,village,1
760,-235,1264,village,25
761,1850,801,village,26
762,-807,-1861,village,10
763,-769,-1068,village,58
764,-550,1601,village,87
765,265,-1630,village,87
766,-340,-707,village,4
767,-655,-1193,village,25
768,-1068,-1478,village,53
769,943,1118,village,84
770,1308,-585,village,85
771,1047,1052,village,1
772,-829,-628,village,53
773,259,-682,village,44
774,-1896,-1199,village,40
775,518,-1797,village,94
776,-731,1652,village,73
777,549,1967,village,99
778,53,-332,village,51
779,-231,-1381,village,68
780,-1181,-667,village,96
781,928,1172,village,50
782,-1124,233,village,2
783,-1276,-707,village,71
784,1610,-1975,village,75
785,1703,1464,village,37
786,-608,-1379,village,72
787,1003,-263,village,12
788,-1131,971,village,83
789,-1238,19,village,32
790,-1380,-1453,village,47
791,1279,1566,village,60
792,-1986,987,village,68
793,-1770,173,village,49
794,-1152,-1281,village,92
795,895,-414,village,38
796,883,-1311,village,8
797,504,-232,village,84
798,-1129,1220,village,99
799,-1644,1219,village,39
800,615,-1401,village,84
801,-1931,-336,village,66
802,673,-917,village,38
803,-333,-336,village,59
804,740,691,village,77
805,-1792,-1200,village,63
806,1932,-767,village,85
807,174,665,village,1
808,1223,412,village,87
809,-197,150,village,22
810,1685,-1652,village,34
811,-987,-1278,village,56
812,1309,-309,village,43
813,-926,-1299,village,63
814,-560,1255,village,27
815,1649,-153,village,45
816,-1627,1732,village,26
817,153,1018,village,3
818,467,451,village,20
819,1486,-130,village,10
820,978,-1447,village,18
821,1666,1013,village,85
822,498,876,village,92
823,-425,876,village,40
824,-359,93,village,58
825,-1769,-839,village,90
826,-36,-267,village,50
827,-923,820,village,20
828,1095,1858,village,27
829,-877,641,village,94
830,-14,148,village,88
831,-30,-1327,village,70
832,-819,-599,village,65
833,-1225,1445,village,81
834,145,-131,village,58
835,-1821,-59,village,69
836,-471,-1398,village,98
837,1230,1480,village,5
838,-94,-128,village,59
839,137,-1245,village,23
840,-781,-1140,village,50
841,-810,-364,village,26
842,-67,-1880,village,89
843,881,-1892,village,82
844,662,1758,village,75
845,-144,1851,village,6
846,-663,-1606,village,87
847,-1142,-1759,village,96
848,1663,519,village,51
849,1525,1736,village,25
850,1825,-1738,village,91
851,-1178,-1537,village,70
852,1937,-1810,village,60
853,833,-1615,village,87
854,-375,353,village,23
855,77,-944,village,21
856,794,-646,village,24
857,787,-1264,village,77
858,-1896,-1930,village,50
859,-519,398,village,14
860,-627,-666,village,43
861,-329,988,village,72
862,-1097,-782,village,97
863,622,494,village,40
864,1668,-990,village,32
865,558,641,village,29
866,1594,398,village,34
867,1922,1947,village,29
868,-208,-1279,village,99
869,1009,-1103,village,52
870,1147,-617,village,90
871,774,616,village,77
872,-899,748,village,4
873,-1549,1469,village,64
874,453,65,village,62
875,1417,-133,village,8
876,1984,35,village,87
877,-1829,-1274,village,32
878,651,-1052,village,98
879,-1541,-688,village,100
880,1799,31,village,77
881,-1619,-458,village,13
882,-1078,84,village,37
883,1786,207,village,8
884,77,-556,village,85
885,920,-1252,village,52
886,-1530,1765,village,38
887,984,-1679,village,31
888,-35,-1073,village,64
889,-30,-1507,village,97
890,-1247,-797,village,36
891,-1302,1143,village,84
892,-200,-1464,village,71
893,420,529,village,93
894,-965,1400,village,73
895,-1180,-1170,village,60
896,139,1397,village,19
897,811,-1595,village,38
898,-379,-1862,village,74
899,-182,260,village,60
900,626,-1302,village,96
901,734,-1206,village,85
902,-1238,1238,village,38
903,1796,-641,village,61
904,-360,1564,village,22
905,-662,1896,village,28
906,517,-647,village,51
907,905,-944,village,68
908,-198,-909,village,67
909,-417,356,village,53
910,1134,-395,village,59
911,-947,-1838,village,77
912,-1913,-1017,village,7
913,-395,-1463,village,99
914,-1822,-52,village,98
915,-1911,-1457,village,43
916,-244,-1960,village,52
917,-362,455,village,30
918,718,355,village,52
919,69,1889,village,62
920,1606,781,village,5
921,-1429,-824,village,84
922,-1867,-1814,village,76
923,1419,1472,village,90
924,-1511,1875,village,74
925,-655,1326,village,3
926,-1446,-109,village,84
927,1347,378,village,32
928,187,829,village,90
929,-703,1600,village,8
930,1623,1258,village,28
931,794,-569,village,47
932,-999,-53,village,47
933,-259,-1547,village,86
934,-1873,-1244,village,27
935,-507,980,village,29
936,-179,-1215,village,75
937,1714,-1121,village,61
938,1399,1469,village,19
939,315,683,village,20
940,-1060,1864,village,66
941,1104,1107,village,94
942,-1470,1168,village,24
943,556,-785,village,90
944,830,-393,village,53
945,-1118,305,village,52
946,-1248,1800,village,24
947,-593,-8,village,8
948,-765,866,village,85
949,-967,-972,village,79
950,-1322,-840,village,76
951,-1527,561,village,90
952,1443,225,village,75
953,-175,213,village,7
954,1303,-1149,village,17
955,-1227,465,village,37
956,-1816,-1586,village,28
957,-1875,1278,village,57
958,1755,-1064,village,6
959,436,-1530,village,16
960,1600,-1009,village,75
961,1394,365,village,50
962,1234,-1062,village,52
963,-1021,1590,village,60
964,1856,1063,village,92
965,-1008,964,village,23
966,-104,794,village,88
967,643,795,village,68
968,1273,1370,village,35
969,1631,-1214,village,18
970,-352,-283,village,35
971,649,1918,village,49
972,1451,-280,village,62
973,-881,-588,village,46
974,764,617,village,63
975,550,-1476,village,38
976,-61,-114,village,12
977,1684,1636,village,62
978,1250,1964,village,76
979,-543,-763,village,75
980,-330,-286,village,84
981,1040,1683,village,75
982,1677,184,village,79
983,-965,1169,village,40
984,1749,-662,village,52
985,1183,-1878,village,30
986,1538,1743,village,10
987,-113,1239,village,81
988,49,291,village,55
989,-1494,1384,village,54
990,-1491,-1584,village,86
991,1414,-1988,village,90
992,-1594,410,village,3
993,-373,-249,village,93
994,216,-470,village,80
995,1790,-323,village,100
996,10,274,village,37
997,-1909,1600,village,85
998,1573,209,village,88
999,-1756,-1708,village,45
1000,-499,1255,resupply,0
1001,-250,-81,resupply,0
1002,-1325,398,resupply,0
1003,951,930,resupply,0
1004,-211,362,resupply,0
1005,1933,117,resupply,0
1006,-1804,-1731,resupply,0
1007,-1787,1476,resupply,0
1008,-944,-439,resupply,0
1009,1667,-1046,resupply,0
